Question,Answer
What seamstress does Arthur believe holds the key to the mystery of the watch?,Little Dorrit.
Which force does Jim Phelps work for?,Impossible Missions Force
What is supposed to be recovered from the American Embassy in Prague?,An IMF non-official cover list
Who dies in an apparent car bombing?,Claire
Who is the director of IMF?,Ethan Hunt
How much money does Phelps want in exchange for the list and Job's identity?,$10 million
Where are the CIA headquarters located?,"Langley, Virginia"
Who was Ethan pretending to be?,Phelps
How did Hunt kill Phelps and Kreiger?,With an explosive attached to the helicoptor
Who asks Hunt if he is ready for another mission?,The flight attendant
What does IMF stand for?,Impossible Missions Force.
What job does Eugene Kittridge have in the IMF?,Director.
"What does ""Job 314"" refer to?",The Bible verse Job 3:14
Who ends up being the mole in the IMF?,Phelps.
Where are the CIA headquarters located that Hunt steals the real list from?,"Langley, Virginia"
Who does Phelps try to say is the mole?,Kittridge.
Where is the train headed to that the exchange of the information happens on?,Paris.
What does Phelps try to use to escape the train once his cover is blown?,A helicopter.
What does Hunt put on the windshield of the helicopter that kills Phelps and Kreiger?,Explosive chewing gum.
Who asks if Stickell is ready to take on a new mission on the flight home?,A flight attendant.
What is Jim Phelps and his team called?,"The Impossible Missions Force, or IMF. "
What do the IMF attempt to receive?,The IMF non-official cover list.
What does Job 314 refer to?,Bible verse Job 3:14.
Who is the remaining team member of IMF?,Ethan Hunt.
Who is the director of IMF?,Eugene Kittridge.
Why does Kittridge suspect Hunt as the mole of IMF?,Hunt is the only member left from IMF.
What is the name of the arms dealer the mole is in contact with?,Max.
What did Max say about the  fake non-official cover list?,That it has a tracking device.
What does Max want in return for the real list?,$10 million.
What is the name of the real mole?,Phelps.
Where did Virginia live for nearly all her life?,"Dinwiddie, VA."
Who did Virginia marry?,Oliver Treadwell.
What job did Oliver Treadwell take after getting married?,He went to work for the railroad.
What did Oliver want to do for a living?,He wanted to be a playwright.
What was the result of Oliver's first play?,It was a flop.
How many children did Oliver and Virginia have?,Three.
Where did Oliver spend most of his career as a playwright?,In New York City.
What did Virginia's son do to help his mother near the end of the story?,"He left school and came home to live with his mother,"
When did Virginia start to have money?,After her husband's plays were successful.
How did Virginia's father die?,He was stabbed while trying prevent the lynching of a young black man.
Where does Virginia grow up?,"Dinwiddie, Virgina"
Who does Virginia first fall in love with?,Oliver Treadwell
What does Oliver Treadwell aspire to be?,A playwright
"After Oliver and Virginia marry, how many children did they have?",Three
What city is Oliver's first play produced in?,New York City
How did Virginia's father die?,He was stabbed
How long after her husband did Virginia's mother die?,A few months.
Who is Oliver cheating on Virginia with?,An actress whom he has in one of his plays
What does Oliver ask Virginia to allow him to do?,Divorce her
What does Virginia's son write to his mother at the end of the story?,Leave Oxford early to come and live with her again.
What town does Virginia grow up in?,"Dinwiddie, Virginia"
What does Oliver want to be?,A playwright.
What kind of job does Oliver's uncle offer him?,He offer him a job at the bank.
How many children do Oliver and Virginia have?,3
Why was Oliver's first play a failure?,It was to intellectual and radical for Broadway.
How did Virginia's father die?,He was stabbed trying to prevent the lynching of an African American.
What kind of play did Oliver finally have success with?,A trashy play.
What does Virginia do for the first time in her life?,Spends Christmas home alone.
What happens when Virginia goes with Oliver to one of his plays?,She finds out he is having an affair with one of the actresses in his play.
What did Oliver ask Virginia to do?,To give him a divorce.
What does Grant have to do in order to receive funding for his research from Paul and Amanda?,Give Paul and Amanda an aerial tour of Isla Sorna.
Why does Cooper knock Grant out on the plane?,Grant opposes to the plans of landing on the island.
What does the use of the megaphone attract?,A Spinosaurus.
Who were Paul and Amanda looking for on the island?,Their son Eric and Amanda's boyfriend Ben.
How long were Ben and Eric missing on the island?,Eight weeks.
How does Grant confuse the pack of raptors?,By using a replicated raptor larynx.
How many people does the Spinosaurus eat?,Two.
Who took raptor eggs for funding?,Billy.
What is attached to the parasail the group finds?,Ben's corpse.
How many raptor eggs did Billy take?,Two.
What kind of dinosaurs formed the stampeding herd that separated Grant and Udesky from the others?,Corythosaurus and Parasaurophus
Where is the satellite phone when its ringing reunites Grant and Eric  with Billy and the Kirbys?,Inside the Spinosaurus
Whose abandoned compound was Amanda in when ambushed by raptors?,InGen
How did Grant acquire the Velociraptor larynx he used to confuse the raptors?,It was replicated by Billy with a 3D printer.
What is Ben Hildebrand's and Eric Kirby's relationship?,Ben is the boyfriend of Eric's mother
"How long has Eric and Ben been on Isla Soma when Grant, the Kirbys and crew land on the Island?",Eight Weeks
Why was the satellite phone buried in feces when the group found it?,Paul had given it to Nash before he was eaten.
"What other carnivore did Spinosaurus kill in pursuit of Grant, the Kirbys and crew?",Tyrannosaurus
Where had Eric been surviving before rescuing Dr. Grant?,In and overturned water truck
What was Paul and Amanda Kirby's ruse to get onto Isla Soma?,A wealth couple wo were willing to fund Dr. Grants research for an aerial tour of the island.
What are the Pteranodons looking for at the end of the story?,New nesting grounds
What are the raptors searching for?,Eggs
Where is the phone buried?,Feces
What is used to confuse the pack?,Replicated raptor larynx
Who took the raptor eggs?,Billy
Who are the Kirby's looking for?,Their son Eric
What is the name of the island?,Isla  Sorna
Who is Dr. Grant's assistant?,Billy
What kills the T-Rex?,Spinosaurus
Who is killed by the raptors?,Udesky
How many years had it been since the train stopped in Black Rock?,Four years
Who told Macreedy that there were no vacant rooms available at the hotel?,Pete Wirth
Who was Macreedy searching for in Black Rock?,Komoko
Who told Macreedy that Komoko is dead?,Doc Velie
How did Macreedy loose his left arm?,While fighting in Italy
Who's son saved Macreedy's life?,Komoko's
Who shot Komoko?,Smith
What did Macreedy use to injur Smith?,A Molotov cocktail
Who set up and betrayed Macreedy?,Liz
What is the name of the man Macreedy is looking for?,Komoko
Where was Mcreedy fighting when he lost his arm?,Italy
Why couldn't Smith enlist in the Marines?,He failed his physical.
What did Macreedy plan to give to Komoko?,his son's war metal
Who does Macreedy give the metal to before leaving town?,Doc Velie
Why does Macreedy give the metal away before leaving town?,To help Black Rock heal
Who betrays Macreedy in the canyon?,Liz
Who is Liz's brother?,Smith
Who shoots Liz?,Macreedy
Who drives Macreedy out of town before the shoot out with Smith?,Liz
Who is Macreedy looking for when he gets off the train in Black Rock?,Komoko.
What does Reno Smith inform Macreedy about Komoko?,That he was interned during World War II.
What does Doc Velie advise Macreedy to do when they meet?,To leave town right away.
Where did Macreedy lose his left arm?,In Italy.
What leads Macreedy to believe that Komoko is dead?,The wildflowers.
Who refuses to put through Macreedy's call to the State Police?,Pete the hotel desk clerk.
How does Macreedy beat up Trimble?,Martial arts.
Who saved Macreedy's life in the war?,Komoko's son.
What did Komoko find on the land that he leased from Smith?,Water.
To whom does Macreedy give Komoko's medal?,Doc Velie.
Who fakes his own death?,Finn McMissle
Who is known for being the 4-time Piston Cup champion?,Lightning McQueen
Which race does Francesco Bernoulli challenge Lightning McQueen to?,The World Grand Prix
Who do Zundapp's henchmen attack?,"Rod ""Tourque"" Redline"
Who is abducted by Finn?,Mater
What is the camera used in disguise of?,Electromagnetic pulse emitter
What was the Allinol in Lightning McQueens car changed to?,Gasoline
Where is the Big Ben clock located?,In London
Where is the bomb located in Mater's car?,On his air filter
Who is the mastermind behind the whole operation to destroy the cars in the race?,Axlerod
What did the British spy discover on the oil platform?,an electromagnetic pulse emitter disguised as a camera
Who is the 4-time Piston Cup champion's best friend?,Mater
Where was the World Grand Prix held?,in Tokyo
Who created the fuel that the Grand Prix racers needed?,Sir Miles Axlelrod
Why didn't the camera work on Lightening?,Because Sarge changed the fuel
Who leads the owners of the world's largest untapped oil reserves?,Professor Zundapp
"Who rescued Finn, Molly, Mater, and McQueen from the lemons?",Other residents of Radiator Springs
Where does Finn take Mater after abducting him?,on his plane
Why did the criminals want to kill Lightening?,because he decided to continue using Allinol
"Which country is Finn a spy for, according to the story?",Britain
How many times did Lightning win the Piston Cup?,4
Where does Mater live?,Radiator Springs
When did Finn fake his death?,after escaping from the lemon cars
Where is the first World Grand Prix race being held?,Tokyo
Which fuel is required to be used in the Grand Prix?,Allinol
How did Professor Zundapp disguise the electromagnetic pulse emitter?,they made it look like a camera
Why did the lemons want to destabilize Allinol?,to make sure they kept earning oil profits
When did Mater get information about the mastermind from Redline?,before Redline was killed by Professor Zundapp
Why was Lightning's car unaffected by the fake camera?,Sarge changed the fuel to gasoline
What is Joey Pantucci's nickname?,Tooch
Who was hired to transport a group of mercenaries?,Finnegan
What is the name of the luxury cruise ship?,Argonautica
What did Finnegan's boat collide with?,A speedboat
Who wanted to break into the ship's vault?,Trillian
Why did Canton want the mercenaries to sink the ship?,So he could collect the insurance money
Who's body was found inside of one of the giant tentacles?,Billy
How does Mason end up killing himself?,With a grenade
How did Joey end up surviving the whole ordeal?,He used Finnegan's surfboard to paddle ashore
What was active on the island imposing a new threat to the group of survivors?,Volcanoes
Who is the protagonist of the story?,Finnegan.
Who was responsible for sabotaging the Argonautica?,Canton.
Why is Finnegan in the South China Sea?,He was hired to transport a group of mercenaries.
What was the mercenary group's true mission?,To sink the Argonautica.
What are Finnegan's last words?,"""What now?"""
How did Canton die?,He was on the boat which killed the giant creature.
What does Canton theorize is attacking the ship?,An evolution of smaller deep sea worms.
Who is the anti-hero who attempts to give the others time to escape?,Mulligan.
What is the climax of this story?,The destruction of the Argonautica and sea creature.
Who is the main human antagonist?,Canton.
Who arranged for the mercenaries to sink the ship?,Simon Canton
Why did Canton arrange for the mercenaries to sink the ship?,Canton wanted to claim the insurance money
How did Joey reach the island at the end of the story?,Joey paddled ashore on a surfboard
What do the survivors find in the bow of the ship?,"The creature's ""feeding room"""
What do Canton and Atherton do when they find Trillian trying to steal from the vault?,They lock her in a store room.
Who is the captain of the ship?,Atherton
What kind of ship is the Argonautica?,Cruise ship
Why do Leila and Billy remain on Finnegan's boat?,To make repairs
What does Canton believe the tentacles evolved from?,Deep-sea worms
What happens to the Argonautica at the end of the story?,It explodes.
Who is the person Silvia is to marry?,Dorante.
Why is she afraid to marry him?,Because he never met him.
Who is Monsieur Orgon?,Silvia's father
Who is Silvia's servant?,Lisette
How do Silvia and Dorante plan to deceive each other?,By dressing as servants?
Who is Dorante disguised as?,Boiguignon
What is the social dilemma?,Nobels falling in love with servants
Who goes as Dorant?,Arleqin.
Who reveals the true identity to Silvia?,Dorante
What does Silvia do as Dorante's identity is revealed?,She continues to act as a servant
What does Silvia do to get to know Dorante before they meet?,Dresses as a servant
What is Dorante's plan to get to know Silvia before the formally meet?,Dress as a servant
Why does Silvia's father agree to let her dress as a server when Dorante also dressing as one?,He wanted to see if the two would fall in love regardless
Who dresses as Silvia and Dorante?,"Lisette and Arlequin, the actual servers"
Who is the first one to be truthful about who they really are?,Dorante
What does Silvia do after Dorante confesses who he really is?,Continues to pose at a servant.
Why did Silvia want to dress as a server in the first place?,She wanted to know what type of man Dorante was before they finalized the engagement
What was peculiar about Lisette and Arelquin's behavior?,They didn't know how to correctly use manner' as masters.
Why does Silvia continue to pose as a servant after Dorante confesses he is not one?,She wanted to see if Dorante would renounce his fortune to stay with her. 
Who gets married at the end?,"Silvia and Dorante, as well as Lisette and Arelquin"
Who is Silvia engaged to?,Dorante
Who does Silvia exchanges clothes with?,Lisette
Who is Lisette to Silvia?,a servant
Who is Monsieur Orgon's to Silvia?,her father
Who is Arlequin?,Dorante's servant
Who does Lisette fall in love with?,Arlequin
What's the name of the servant Dorante is disguised as?,Bourguignon
Who's house does Dorante and Arlequin show up to?,Monsieur Orgon's
Who does Dorante fall in love with?,Silvia
Who sent a letter to Monsieur Orgon about Dorante's plan to dress up as a servant?,Dorante's father
Who was the pastor?,Jacob
What sat atop of an Aztec temple?,Titty Twister
"Out of all the main characters, who is killed/turned into a vampire first?",Richie
Why is the Fuller family kidnapped?,To smuggle Richie and Seth over the Mexican border
"Which character bites Scott, turning him into a vampire?",Jacob
What ends up killing all of the vampires?,The sunlight
Where did the vampires come from?,They were the employees and strippers
Which character was hesitant to go into the Titty Twister?,Kate
Why are Seth and Richie trying to get to Mexico?,They robbed a bank and are fleeing from the Police.
Which character is known to have killed and raped a person?,Richie
What is Richie and Seth's relationship?,Richie and Seth are brothers.
"In addition to the Texas police, who else is chasing Seth and Richie?",The F.B.I.
Who is being held hostage in the trunk of the Gecko's car?,A bank clerk.
What is Jacob's profession?,A pastor.
How many children does Jacob have?,Two.
What is the Fuller family traveling in?,Their RV.
What truce does Seth make with Jacob?,That if the Fuller family can get the brothers safely across the Mexican border the family will not be harmed.
What is the name of the strip club in the desert?,The Titty Twister
What are the employees and strippers in the club revealed to be?,Vampires.
Who is Santanico Pandemonium? ,The star stripper in the club.
How are Seth and Richie related?,They are brothers
Who are Seth and Richie fleeing from?,The FBI and the Texas Police
What family is forced to help the Gecko brothers?,The Fuller family
Where is the Titty Twister?,In the middle of a desolate part of Mexico
Who is the star stripper?,Santanico Pandemonium
What are all the employees and strippers revealed to be?,Vampires
Which brother bleeds to death after being biten by Santanico?,Richie
Where does a vampire bite Sex Machine?,In the arm
Where is Seth going at the end?,"El Rey, Mexico"
What is the Titty Twister built on?,An ancient Aztec Temple
Whose driving dangerous down a winding road recklessly?,A woman.
How was the woman killed?,Her car was clipped a truck.
Who collapse at a baseball game?,The son of John Quincy Archibald and wife Denise.
Who was Michael with when he collapsed?,He was by himself at a baseball game.
What is the cost of the heart procedure?,"250,000 dollars. "
What was said after John stated that he is insured?,After dropping from full time to part time his health insurance has changed.
What was told to John after his health insurance has change?,The new policy does not cover surgery.
Why did John walked into the hospital E R with a hand gun?,He gather eleven hostages and set demands.
Who begin to understand John situation and support him?,The eleven hostages.
What did Chief of police gave SWAT permission to do?,Insert a sniper into the building air shaft.
Why didn't John die when he pulled the trigger on himself?,The safety was on
Why didn't John qualify for health insurance?,He was dropped from full-time to part-time
How much is the down payment to get on the donor list?,"$75,000"
How does John get his son's name on the list?,He releases four hostages
What was John found guilty of?,Kidnapping
What was the outcome of John being shot by the SWAT sniper?,Minor wound
How did John get Michael into the emergency room?,He gave the SWAT sniper to the police in exchange for that demand
How many hostages were a witness to John's will?,Two
Who did Michael get the heart from?,A woman who was killed in a car accident
How many hostages did John initially gather?,Eleven
What kind of truck kills the woman?,A Mack truck
What is John's expected sentence?,3-5 years
Who beat up Julie?,Mitch
What is the real reason for Julie's broken arm?,Mitch beat her up
What is John's demand?,That his son be put on the donor list
What is wrong with Michael's heart?,It is enlarged
How many hostages does John take? ,11
Who is used as an organ donor for Michael?,The woman killed by the Mack truck
What does John plan to do?,Kill himself and have his heart used for his son
Who stops John from killing himself?,His wife
Anne's corpse was adorned with what?,cut flowers
Anne and her husband are both retired what?,piano teachers
On which side did Anne get paralyzed?,The right.
How many days a week did the first nurse Georges hire work for?,Three
What did Georges do after telling Anne a story of his childhood?,He smothered her with a pillow.
What did Georges imagine Anne doing in the kitchen?,Washing dishes.
What did Georges release that he wrote in the letter about?,A pigeon
Why did the second nurse get fired?,She was mistreating Anne.
In which city was Anne found dead?,In Paris.
"What happens to Anne, the morning after the attempted break-in?",Anne suffers a stroke.
What kind of surgery did Anne endure?,a surgery on her blocked carotid artery.
What complication arises from Anne's surgery?,She becomes paralyzed on her right side.
What does Georges promise Anne after she becomes paralyzed?,Georges promises to never have Anne put in a hospital or a nursing home.
Who wants to have Anne put into a home?,"Georges and Anne's daughter, Eva"
What career did Georges and Anne have in common?,They were both piano teachers
How does Anne die?,Georges smothers her with a pillow.
What do the firemen and police discover after entering the Paris apartment with the strange odor?,They discover the corpse of Anne.
Why does Georges fire the second nurse?,"He discovers she is mistreating his wife, Anne"
Who is Alexandre?,"a former pupil of Anne, a pianist."
Why did firemen break down the door to a Parisian apartment? ,Residents of the building complained of a weird smell
Whose body was found adorned with flowers? ,Anne
Anne and Georges attend whose piano performance? ,Alexandre
What happens to Anne when she is eating breakfast with Georges? ,She suffers a stroke
What does Anne have surgery on? ,A blocked carotid artery
Who kills Anne? ,Georges
What happens to Anne after the surgery goes wrong? ,She is paralyzed and confined to a wheelchair
Who is Anne and Georges's daughter? ,Eva
Why does Georges fire the second nurse? ,He discovers she is mistreating Anne 
What does Georges imagine Anne doing after he kills her? ,Washing dishes 
What team did Jackie Robinson sign with to break the color barrier in major league baseball?,The Brooklyn Dodgers
How much money were the Dodgers going to pay Jackie Robinson per month?,600 dollars
What was the amount of the signing bonus that Jackie Robinson received?,"3,500 dollars"
What city was the Farm team that Robinson played for? ,Montreal
Who agrees to manage the team once Durocher is suspended? ,Burt Shotton
What did the petition state that most of the Dodgers' players signed?,That they refused to play with Robinson
What does Pee Wee Reese do to Robinson to silence the hostile crowd in Cincinnati? ,He puts his arm around him
Who did the Dodgers play in the World Series that year?,The New York Yankees
"Playing for St. Louis, who spikes Robinson in the back of the leg?",Enos Slaughter
What does Branch Rickey tell Robinson he must do if he wants to play?,Control his temper
Who is the team executive?,Branch Rickey
When does Robinson make it to the franchise farm team in Montreal?,During spring training
Why does Robinson smash his bat?,Manager Ben Chapman taunts him
What does Pee Wee Reese come to understand about Robinson?,What kind of pressure he is facing.
What is Chapman required to do after creating bad press for the team?,Pose with Robinson
What does Rickey warn Robinson to do before he is allowed to play?,Control his temper
How does Reese silence the crowd in cincinatti?,Showing solidarity
Who is Robinson's girlfriend?,Rachel
"What does Enos ""accidentally"" do to robinson while running the bases?",Spikes him on the back.
What is the name of the Philadelphia team?,Phillies
Who is the executive of the Dodgers whom signed Robinson to a contract?,Branch Rickey
What was the signing bonus amount for the contract that Branch Rickey offers Robinson?,3500 dollars
What question does Robinson ask his girlfriend Rachel on the phone after accepting his new contract?,He asks her to marry him.
During spring training in Panama Robinson makes it to the Dodgers farm team located in what city?,Montreal
What do the majority of the Dodger teammates do after learning of Robinson's advancement to the Dodgers?,They sign a petition.
Who agrees to manage the dodgers after manager Leo Durocher is suspended?,Burt Shotton
What item does Robinson smash in the dugout after being taunted by Phillies manager Ben Chapman during the game?,A Baseball Bat
What does Pee Wee Reese do to show empathy towards Robinson while standing in from of a hostile crowd in Cincinnati?,He puts his arm around Robinson.
Where on the body is Robinson injured when Enos Slaughter hurt Robinson while running the bases?,His leg.
What does the Philadelphia Phillies team owner require of Ben Chapman for taunting Robinson during a game?,Ben Chapman is required to pose for photographs with Robinson for magazines and newspapers.
Who is misunderstanding?,A young woman husband name John.
What does John believes?,That his wife should go on rest after the birth of their child.
Where did the family spend their Summer?,Colonial mansion.
Why did the young woman and her move into a room with multitude of windows?,The room provided the air for her recovery.
Who is John's sister Jennie?,Their housekeeper.
"What was barred, torn and scratched?","Windows, wallpapers and floor."
What color was the wallpaper?,Yellow.
What happen to anyone that touches the wallpaper?,Yellow smears on the skin and clothing.
Who was creeping in the wallpaper?,A woman.
What happen the last day of Summer?,She locked herself in her room.
What does the story's female protagonist believe is the cause of the damage in the mansion's nursery?,children
Why does the narrator's sister-in-law spend the summer with her?,Jennie serves as the housekeeper at the mansion
Where does John's wife document her thoughts about the nursery's wallpaper?,in her journal
When do the narrator and her family go on summer vacation?,after she has a child
How does the narrator plan to rescue the woman trapped in pattern?,by removing all of the remaining wallpaper
When does the wallpaper seem to change the most?,when moonlight shines on it
When during their family vacation did John faint?,on the last day of summer
Why does John's wife think that children damaged the nursery?,because all of the wallpaper's damage is at the level where children's hands can reach
What feature made the mansion's upstairs bedroom the best space for John's wife?,all the windows
What happen's to Jennie's sister-in-law over the course of the story?,she goes crazy
What is the main character's husband's name?,John.
What major life event happened to the couple before the summer?,They had their first child.
What is the style of the mansion they stay at?,Colonial.
What do the couple assume the room they stay in used to be used for?,A nursery.
How is Jennie related to the family?,She is John's sister.
What aspect of the couple's room do they find peculiar?,The wallpaper.
What color is the wallpaper in the couple's room?,Yellow.
What does the main character believe she sees in the wallpaper?,A woman.
Why does the main character strip off the wallpaper?,She believes she must free the woman trapped inside.
What is on the windows in the room?,Bars.
Where has Harold Transome been for the past 15 years when the story starts?,in the Far East
What relation is Esther to Rev. Lyon?,she is his stepdaughter
What do Felix and Harold have in common?,They both love Esther
Who proposes to Esther?,Felix
What was the result of Felix's trial?,He was found guilty but pardoned
What was Felix found guilty of in the trial?,Manslaughter
Who was found to be the owner of the Transome estate?,Esther
What political party did Harold run under?,the Radicals
What does Rev. Lyon do to Rev. Debarry?,challenges him to a debate
How is Jermyn related to Harold?,Jermyn is Harold's father
What landowner contested the 1832 election?,Harold Transome
Where did Transome return home from after 15 years?,Far East
What job did Transome do in the Far East?,trading career
Who was the Transome family lawyer?,Matthew Jermyn
Where did Felix Holt return from to live with his mother?,Glascow
Who has been mishandling the Transome estate and embezzling?,Matthew Jermyn
What is the relationship of Esther to Rev. Lyon?,Step-daughter
Who does Rev. Lyon challenge to a debate?,Rev. Augustus Debarry
What crime is Felix Holt charged with due to election day riots?,manslaughter of a constable
Why did Felix Holt return to the village of Treby Magna?,Felix Holt returned to the village of Treby Magna to live with his mother.
Who is Esther to Rev. Rufus Lyon?,Esther is Rev. Rufus Lyon's stepdaughter.
Whose estate did Matthew Jermyn mishandle?,Matthew Jermyn mishandled the Transome estate.
What is the name of the mining town where Felix Holt witnessed electioneering for the Radical cause?,Sproxton
What were the workers in Sproxton given in exchange for their support?,Beer
What are the final results of the election?,Possible answers: (Debarry wins the election./ Transome loses the election.)
Who is the owner of the Transome estate?,Esther Lyon
Why did Harold Transome invite Esther to the estate?,He hoped he would be able to persuade her to marry him.
When did Harold Transome find out that Jermyn was his father?,During an altercation between the two men
Who eventually marries Esther?,Felix Holt
What is Martin's Avdeitch's occupation?,cobbler
What is the only thing that Martin could see when looking out of his window?,people's feet
What causes the death of the only child of Martin's to survive infancy? ,fever
What did Martin talk to Stepanitch about?,Jesus and the Pharisee
What did Martin buy after speaking with the missionary?,a large print Testament
What did Martin give to the young woman with a baby?,money and warm clothing
What caused Martin to deny God?,Grief over the death of his son.
Whose voice did Martin hear during his sleep?,God's
Who did Martin see while he was searching for God?,Stepanitch
What did the people Martin helped during the day tell him when they visited later?,By helping them Martin was helping God.
What was Martin's job?,Shoemaker/cobbler
How many living children does Martin have?,zero
What did the Pharisee wash Jesus' feet with?,tears
What was Stepanitch shoveling?,snow
The young woman Martin saw outside had what with her?,a baby
The boy Martin saw was doing what to an old lady?,stealing
On what days did Martin first begin to read his bible?,holidays
Martin thought of himself as who?,The Pharisee
When did Martin believe he heard the voice of God?,As he slept.
Who were the three figures that appeared to Martin at the end of the story?,The three people he had helped earlier that day.
What is the name of the shoemaker in the story?,The shoemaker's name is Martin Avdeitch.
What happened to Martin's family?,His wife and children died.
What did the missionary tell Martin to do?,The missionary told Martin to live his life for God.
"After his encounter with the missionary, what did Martin buy?",Martin bought a large print Testament.
How often did Martin read the Bible at first?,Martin read the Bible only on holidays at first.
What was Martin doing when God told him he would visit him the next day?,He was sleeping.
"While waiting for God to show up, who was the first person Martin saw?",The first person Martin saw was Stepanich.
What Bible story did Martin tell Stepanich about when he invited him in?,Martin told Stepanich about Jesus and the Pharisee.
"At the end of the story, how did God come and visit Martin?","God came as Stepanich, a young mother with a baby, and a young boy stealing from an older lady."
How many defendants are there in this story?,Three.
Approximately how many days passed since the victim's abduction until the point at which he was murdered?,Approximately 11 days.
What is the last name of the person who wrote The Just and the Unjust?,Cozzens
What are the last names of the three defendants?,"Basso, Howell, and Leming."
For what reason was the victim kidnapped?,Ransom.
Who was involved in the sex scandal?,A teacher.
What were the three defendants charged with?,Murder.
Who is suspected of ordering the murder of the victim?,"A fourth criminal, unnamed."
Which of the three defendants is later defended by a different attorney?,Leming.
Who is Abner Coates betrothed to?,Jesse Gearhart.
Who did the defendants kidnap and murder?,A drug dealer by the name of Frederick Zollicoffer.
In what year was the case of Commonwealth v Stanley Howell and Robert Basso filed?,1939
What was the name of the defendant who broke away from Howell and Basso and got his own attorney?,Roy Leming
"In this case, what are foreigners called?",The people from somewhere else.
How did the fourth criminal die?,He died in a fall trying to escape from the NYC Police Department.
Why did the court appoint attorneys for Howell and Basso?,They couldn't afford to hire their own attorneys.
Who has to care for an infirm father?,Abner Coates
Who is considering running for district attorney?,Abner Coates.
What crime are the three defendants charged with?,Capital murder
What was Frederick Zollicoffer's profession?,Drug dealer 
"Why didn't the ""fourth criminal"" face charges?",The fourth criminal died 
Which two defendants are being tried together?,Robert Basso and Stanley Howell
Who are as involved in a sex scandal?,A local high school teacher 
Who confessed to the FBI?,Stanley Howell
Who was kidnapped on April 6?,Frederick Zollicoffer
Who was involved in a vehicular homicide?,The son of a local politician 
What was a common aspect of the three defendants' nationality?,They were all foreigners 
What office was Abner Coates deciding whether to seek?,District Attorney
How old is Lisa Cohen?,17
How does Monica Patterson die?,She is hit when Gerald Maretti runs a red light because of his distraction from Lisa
Who is involved with the wrongful death lawsuit?,"Lisa, friend Emily, Cousin Abigail and the Metropolitan Transit Authority"
What is their goal in the lawsuit?,The dismissal of Gerald Maretti and monetary damages
Why is the relationship between Lisa and her mother rocky?,"They sporadically fight, and Lisa expresses ambivalance towards her mother's boyfriend."
What happens after Lisa has sex with Caije?,"She tells him and a teacher that she had an abortion, but is not sure who the father was"
What is the conclusion of the lawsuit?,"350,000 goes to Abigail and Metropolitan transit authority refuses to fire Marietti"
Why does MTA refuse to fire Marietti?,Because they fear it would inflame a labor dispute.
How do Lisa and her mother reconnect?,"Lisa emotionally falls apart at the opera after seeing Marietti driving the same bus, and the two hold each other and cry."
What causes the death of Monica Patterson?,The bus driver is distracted by Lisa and hits Monica when he runs a red light.
What was Lisa's initial story to the police?,The bus driver had a green light.
Who makes a remark that Lisa believes is anti-Semetic?,Ramon
Who does Lisa confront and tell that she had an abortion?,Aaron Caije
Why does the MTA not fire Maretti?,Firing Maretti would cause a labor dispute.
How much was awarded in the lawsuit?,"$350,000"
Who was supposed to see the opera with Lisa's mom before their death?,Ramon
How many accidents was Maretti involved in prior to the accident that killed Monica?,Two
What was Abigail's primary motivation for the lawsuit?,Money
Where does Lisa and her mother reconnect?,The opera
What happens when Gerald is distracted as a bus driver?,"He runs a red light, leading to a fatal accident where he strikes a pedestrian."
What does Lisa first report to the police?,"That the driver had a green light at the time of the accident, placing the blame on the pedestrian."
Why does Lisa change her story?,She feels guilty for lying to the police.
What does Lisa learn from her conversation with Gerald?,He believes he did nothing wrong in the crash.
What does Lisa decide after confronting Gerald?,That she is going to pursue a wrongful death case against Gerald with the transit authority to get hmi fired from his job
What is the outcome of the wrongful death case?,"The families are given a $350,000 settlement, but the driver remains hired with the company."
What other incidents happen in Lisa's life during the course of the trial?,"She flirts with her math teacher, loses her virginity to a classmate and has debates about terrorism and politics with fellow classmates."
What happens between Lisa and her math teacher?,"The two have sex, and then Lisa admits to having an abortion in front of him and another teacher."
What is Lisa's relationship like between her mother's boyfriend Ramon?,Lisa is ambivalent towards him.
What happens to Ramon?,He dies of a heart attack unexpectedly.
What does Reinhard do to impress Elisabeth?,Writes fairy tales.
How old is Elisabeth when Reinhard tells her he wants to spend his whole life with her?,Five years old
Who does Reinhard spend Christmas Eve with?,with fellow students
Who inherited his father's farm?,Erich
What did Erich give Elisabeth?,A bird
What does Reinhard make Elisabeth promise him?,That she will still love him when he retuns.
Who proposed to Elisabeth?,Erich
What does Reinhard try to reach in the water?,A water lily.
What brings tears to Elisabeth's eyes?,Listening to Reinhard's words of lost youth.
How many years older is Reinhard than Elisabeth?,Five
How does Reinhard impress Elisabeth?,By writting fairy tale on slips of paper for her. 
Who does Elisabeth marry? ,Erich
What animal did Reinhard give Elisabeth?,A bird. 
How many times does Elisabeth reject Erich's proposal? ,Two
Why is Elisabeth upset when Reinhard gets her letters at Christmas? ,Because he has not been sending her Fairy tales. 
What does Reinhard try to reach in the lake?,A lillypad
What does the lillypad symobolize?,Reighard and Elisabeth's love
What does Erich inherit? ,His father's farm. 
Where does Reinhard write poems about his life experiences?,A vellum-bound notebook
What is the age difference between Reinhard and Elisabeth?,5 years
Who does Reinhard write fairy tales for?,Elisabeth
Where does Reinhard want to live with Elisabeth?,India
What instrument is the girl in the Ratskeller playing?,Zither
